Category: All categories,
,
Month,wl: (United States)
2012-02,93
2012-03,91
2012-04,100
2012-05,93
2012-06,91
2012-07,92
2012-08,81
2012-09,77
2012-10,72
2012-11,67
2012-12,64
2013-01,93
2013-02,89
2013-03,89
2013-04,89
2013-05,90
2013-06,91
2013-07,92
2013-08,84
2013-09,80
2013-10,78
2013-11,75
2013-12,67
2014-01,99
2014-02,93
2014-03,95
2014-04,91
2014-05,92
2014-06,92
2014-07,91
2014-08,80
2014-09,75
2014-10,72
2014-11,68
2014-12,67
2015-01,94
2015-02,83
2015-03,86
2015-04,84
2015-05,81
2015-06,85
2015-07,88
2015-08,77
2015-09,71
2015-10,69
2015-11,67
2015-12,66
2016-01,92
2016-02,87
2016-03,89
2016-04,86
2016-05,84
2016-06,81
2016-07,85
2016-08,83
2016-09,76
2016-10,69
2016-11,66
2016-12,68
2017-01,99
2017-02,97
2017-03,97
2017-04,97
2017-05,86
2017-06,85
2017-07,85
2017-08,73
2017-09,68
2017-10,72
2017-11,67
2017-12,65
2018-01,92
2018-02,86
2018-03,87
2018-04,88
2018-05,83
2018-06,85
2018-07,87
2018-08,79
2018-09,67
2018-10,66
2018-11,59
2018-12,65
2019-01,89
2019-02,82
2019-03,78
2019-04,81
2019-05,76
2019-06,75
2019-07,79
2019-08,73
2019-09,66
2019-10,65
2019-11,60
2019-12,61
2020-01,92
2020-02,82
2020-03,59
2020-04,67
2020-05,99
2020-06,87
2020-07,81
2020-08,80
2020-09,74
2020-10,78
2020-11,66
2020-12,70
2021-01,94
2021-02,91
2021-03,89
2021-04,90
2021-05,88
2021-06,92
2021-07,82
2021-08,79
2021-09,76
2021-10,63
2021-11,59
2021-12,58
2022-01,81
